,content,publish_time,s_publish_time,sentiment,1. open,2. high,3. low,4. close,5. volume,same_day_change,same_day_percentage_change,1_day_change,1_day_percentage_change,same_day_accuracy,1_day_accuracy
0,"Tesla Inc. is considering cutting the price of its China-built Model 3 sedans by 20% or more next year, people familiar with the matter said, betting the move will lure buyers as the world’s biggest electric-vehicle market slows.",2019-12-18T05:34:44.663Z,2019-12-18 00:00:00+00:00,0.0,380.63,395.22,380.58,393.15,14136392.0,12.519999999999982,0.03289283556209437,14.159999999999968,0.037362463389535305,0.0,0.0
1,As if Elon Musk wasn’t already having a good day.,2019-10-24T12:33:49.831Z,2019-10-24 00:00:00+00:00,1.0,298.37,304.93,289.2,299.68,29819231.0,1.3100000000000023,0.004390521835305166,45.0,0.17669231977383393,0.004390521835305166,0.17669231977383393
89,Tesla Inc. shares are now trading above Wall Street expectations after spending most of the year languishing below analysts’ average price targets.,2019-10-24T16:32:01.577Z,2019-10-24 00:00:00+00:00,1.0,298.37,304.93,289.2,299.68,29819231.0,1.3100000000000023,0.004390521835305166,45.0,0.17669231977383393,0.004390521835305166,0.17669231977383393
2,"Tesla Inc. Chief Executive Officer Elon Musk revived the practice of reporting reservation counts, telling his Twitter followers that orders for the carmaker’s Cybertruck climbed to 200,000 despite a rocky reveal.",2019-11-24T01:45:03.207Z,2019-11-24 00:00:00+00:00,0.0,,,,,,,,,,,
3,"Tesla Inc. unveiled its first vehicles built in China, a milestone for Elon Musk’s company as it prepares to start sales of domestically made electric sedans in the world’s largest auto market.",2019-11-11T06:58:52.734Z,2019-11-11 00:00:00+00:00,0.0,343.95,349.19,342.0,345.09,9993689.0,1.1399999999999864,0.003314435237679856,7.949999999999989,0.023580708311087273,0.0,0.0
4,"Tesla Inc. raised $2.35 billion through debt and stock offerings that expanded from the company’s initial plans, helping to put some near-term liquidity fears to rest.",2019-05-03T12:43:05.890Z,2019-05-03 00:00:00+00:00,0.0,243.86,256.61,243.49,255.03,23706771.0,11.169999999999987,0.04580497006479122,10.930000000000007,0.044776730848013147,0.0,0.0
5,Tesla Inc. shares plummeted as much as 13% after a worse-than-expected loss and yet another major management change cast fresh doubts on the electric-car maker’s future.,2019-07-24T21:01:17.166Z,2019-07-24 00:00:00+00:00,-1.0,259.17,266.07,258.1601,264.88,11072835.0,5.7099999999999795,0.022031870972720528,4.7099999999999795,0.01810354768036282,-0.022031870972720528,-0.01810354768036282
85,"Tesla Inc.’s solar installations slipped yet again in the second quarter, marking another setback for the U.S. rooftop panel industry’s former king.",2019-07-24T20:54:00.016Z,2019-07-24 00:00:00+00:00,0.0,259.17,266.07,258.1601,264.88,11072835.0,5.7099999999999795,0.022031870972720528,4.7099999999999795,0.01810354768036282,0.0,0.0
86,Tesla Inc. sold a record number of cars during the second quarter. But did the company make enough money while doing so?,2019-07-24T10:00:00.006Z,2019-07-24 00:00:00+00:00,0.0,259.17,266.07,258.1601,264.88,11072835.0,5.7099999999999795,0.022031870972720528,4.7099999999999795,0.01810354768036282,0.0,0.0
6,"Elon Musk flipped the script on those who doubted Tesla Inc. could return to profitability and meet aggressive timelines, delivering positive earnings few saw coming and declaring he’s ahead of schedule on a new plant and product.",2019-10-23T21:12:47.908Z,2019-10-23 00:00:00+00:00,-1.0,254.5,256.14,251.35,254.68,11216182.0,0.18000000000000682,0.0007072691552063137,-0.9000000000000057,-0.0035214023006495676,-0.0007072691552063137,0.0035214023006495676
