,source,author,title,publishedAt,sentiment
0,TechCrunch,Matt Burns,Video of Cybertruck driving on California highway reveals more questions,2019-12-09T14:15:07Z,0
1,Business Insider,Mark Matousek,Tesla has reportedly lost its top lawyer for the third time in the past year (TSLA),2019-12-12T15:59:36Z,-1
2,Business Insider,Matthew DeBord,Why the Cybertruck is a breakthrough for Tesla and designer Franz von Holzhausen (TSLA),2019-12-01T14:13:00Z,1
3,Boingboing.net,Jason Weisberger,"Elon shows off his cybertruck, hits a pylon",2019-12-09T16:01:14Z,0
4,Insideevs.com,Steven Loveday,Tesla Cybertruck's Impressive Acceleration Caught On Video - InsideEVs,2019-12-10T18:24:20Z,1
5,Business Insider,Graham Rapier,Elon Musk appears to have mowed down a traffic sign in Tesla's new Cybertruck over the weekend (TSLA),2019-12-09T14:27:29Z,0
6,Business Insider,Mark Matousek,Inside Tesla's overhaul plan for its sales and delivery teams to solve one of its toughest customer challenges (TSLA),2019-12-12T14:56:46Z,1
7,Business Insider,Mark Matousek,Tesla expects to release the most and least expensive versions of the Cybertruck a year earlier than expected (TSLA),2019-12-06T16:09:15Z,0
8,Business Insider,Graham Rapier,"Shifting Gears: Uber's safety report is finally here, Elon Musk takes the stand, and a shakeup at United (UBER, TSLA, UAL, GM)",2019-12-06T16:49:09Z,1
9,Business Insider,Mark Matousek,Elon Musk said in a leaked email to Tesla employees that delivering cars and installing solar roofs are his top priorities for the end of the year (TSLA),2019-12-05T14:54:07Z,1
10,Business Insider,Mark Matousek,Videos of long lines at Tesla Supercharger stations around Thanksgiving revealed a big hurdle companies like Tesla and Volkswagen need to clear before more people will buy EVs (TSLA),2019-12-03T13:32:00Z,1
11,Marketwatch.com,Shawn Langlois,The Margin: Self-driving Tesla slams into a cop car — and the driver blames his dog,2019-12-08T21:44:23Z,-1
12,Marketwatch.com,Claudia Assis,Tesla Model 3 named ‘best electric car’ by Edmunds,2019-12-11T17:26:57Z,1
13,Business Insider,Ben Gilbert,Tesla on Autopilot crashes into parked police car (TSLA),2019-12-09T14:45:51Z,0
14,Marketwatch.com,Claudia Assis,Tesla stock ‘bull case’ is $500 at Morgan Stanley,2019-12-06T17:47:46Z,0
15,Marketwatch.com,Shawn Langlois,Key Words: ‘Shocked’ strategist says sell Tesla — ‘I don’t give a toss if he is a visionary’,2019-12-09T17:01:22Z,1
16,Cleantechnica.com,Frugal Moogal,Tesla [TSLA] FUD: “Elon Time”,2019-12-10T06:00:25Z,-1
17,Yahoo.com,,Has Tesla (TSLA) Outpaced Other Auto-Tires-Trucks Stocks This Year?,2019-12-10T16:30:04Z,0
18,Yahoo.com,Zacks Equity Research,Tesla (TSLA) Outpaces Stock Market Gains: What You Should Know,2019-12-11T22:45:10Z,1
19,Yahoo.com,Zacks Equity Research,Tesla (TSLA) Stock Sinks As Market Gains: What You Should Know,2019-12-05T22:45:10Z,1
20,Cleantechnica.com,Johnna Crider,It’s Wrong To Value Tesla [TSLA] As An Auto Business,2019-12-11T18:27:48Z,-1
21,Business Insider,Mark Matousek,6 current and ex-Tesla employees reveal the one thing customers should know about what it's like to work there (TSLA),2019-12-01T15:03:00Z,1
22,Marketwatch.com,Steve Goldstein,Need to Know: There’s a huge change coming from the Fed (just not today),2019-12-11T12:04:02Z,1
23,Marketwatch.com,Steve Goldstein,"Need to Know: ‘Fiscal dysfunction’ may lead to 10% pullbacks next year—and also some good opportunities, fund manager says",2019-12-06T11:32:23Z,1
24,Marketwatch.com,Mark DeCambre,Market Snapshot: Dow futures retreat to start week after stock market puts in best session in months,2019-12-09T12:12:32Z,1
25,Business Insider,Matthew DeBord,The Tesla Cybertruck is the first stainless-steel vehicle since the ill-fated DeLorean — here's a closer look at both (TSLA),2019-12-04T22:56:00Z,0
26,Yahoo.com,,Google Co-Founders Give Up Management Roles – Sundar Pichai to lead Alphabet,2019-12-03T21:43:12Z,0
27,Yahoo.com,,Hedge Funds Sold Tesla Inc. (TSLA) A Bit Too Early,2019-12-04T23:15:08Z,0
28,Crypto Coins News,Joseph Young,3 Reasons Why Even Skeptics are Turning Bullish on Tesla (TSLA),2019-12-12T16:11:52Z,-1
29,Yahoo.com,,Jury Clears Elon Musk In 'Pedo Guy' Defamation Trial - Yahoo Finance,2019-12-07T08:17:06Z,1
30,Yahoo.com,,Elon Musk Takes Grimes For A Drive In The Cybertruck,2019-12-09T13:58:15Z,0
31,Foxbusiness.com,Evie Fordham,Tesla files patent for lasers that clean your car's windshield - Fox Business,2019-12-11T14:06:19Z,1
32,Business Insider,Mark Matousek,"Some 1,100 car shoppers said they'd rather buy an electric pickup truck from Ford or GM than Tesla's Cybertruck — but there's a silver lining for Tesla in the survey (TSLA, F, GM)",2019-12-11T19:32:44Z,0
33,Yahoo.com,,"Benzinga Pro's Top 5 Stocks To Watch For Tues., Dec. 10, 2019: NFLX, AZO, CORV, FRAN, LITB",2019-12-10T13:50:24Z,1
